id,name,tier,type,country,revenue,revenue_currency,pi_vw,components,includes,source,notes,top_client_pct,client_hhi,hhi_source
seat,SEAT S.A.,0,Filial,ES,0,EUR,0,Automóviles y componentes estructurados,,Modularización Trayectorias...; 204-article-p171,Filial del Grupo,,,
cariad,Cariad SE / Cariad China,0,Filial,DE,0,EUR,0,"Software vehicular, conducción autónoma",,Valuación del Grupo Volkswagen,Filial tecnológica propia,,,
traton,TRATON Group,0,Filial,DE,0,EUR,0,"Vehículos comerciales pesados, autobuses","Scania, MAN, Navistar, VW Camiones y Ómnibus",Valuación del Grupo Volkswagen,Filial del Grupo,,,
man-power,MAN Power Engineering,0,Filial,DE,0,EUR,0,"Motores diésel gran diámetro, turbinas, turbocompresores",,Valuación del Grupo Volkswagen,Filial del Grupo,,,
vw-financial,VW Financial Services,0,Filial,DE,0,EUR,0,"Financiación, leasing, gestión flotas","VW Bank, VW Leasing, VW Credit",Valuación del Grupo Volkswagen,Filial financiera del Grupo,,,
europcar,Europcar,0,Filial,FR,0,EUR,0,"Movilidad, alquiler, suscripción vehicular",,Valuación del Grupo Volkswagen,Adquirida para integrar servicios de movilidad,,,
kassel,Planta de Kassel,0,Filial,DE,0,EUR,0,"Fundición aluminio, transmisiones, motores",,Volkswagen group supply chain analysis in Europe,Unidad interna de componentes,,,
puebla-motores,Planta de Motores de Puebla,0,Filial,MX,0,EUR,0,Motores exportados a plantas de VW (DE/ES/BR/CZ),,Modularización Trayectorias...,Unidad interna de componentes,,,
cordoba-transax,Planta MQ200 Córdoba / Transax,0,Filial,AR,0,EUR,0,"Transmisiones manuales, ejes, discos de freno",,Modularización Trayectorias...,Unidad interna de componentes,,,
brose-sitech,Brose Sitech,0,JV,DE,0,EUR,0,"Asientos completos, estructuras mecatrónicas",,Valuación del Grupo Volkswagen,JV 50% VW / 50% Brose,,,
delphi-aptiv,Delphi / Aptiv,1,Generalista,IE,14200,USD,0,"Arneses eléctricos, arquitecturas electrónicas, distribución energía",Delphi Technologies → BorgWarner (2020),Exploring the risks of value chain modularity; Modularización Trayectorias...,Cotiza APTV. Delphi Technologies escindida y absorbida por BorgWarner,,,
brose,Brose Fahrzeugteile,1,Especialista,DE,7000,EUR,0,"Módulos mecatrónicos puertas, elevadores cristales, pestillos",,Modularización Trayectorias...,Incluye Brose Puebla. Socio al 50% en Brose Sitech (JV con VW),,,
sommer-allibert,Sommer Allibert,1,Especialista,FR,0,EUR,0,"Tableros instrumentos, consolas, recubrimientos interiores",,Modularización Trayectorias...,Histórico: ahora parte de Faurecia/Forvia,,,
vdo-siemens,VDO Kienzle / Siemens VDO,1,Especialista,DE,0,EUR,0,"Cabina integrada, instrumentos medición, navegación",,Outsourcing in the automotive industry; Modularización Trayectorias...,Histórico: ahora parte de Continental AG (Continental Automotive),,,
gkn,GKN / Uni-Cardan,1,Especialista,GB,0,EUR,0,"Juntas velocidad constante (CVJ), transmisión de par",,Automotive global value chain - The rise of mega suppliers,Ahora parte de GKN Automotive (Melrose/Dowlais),,,
ntn,NTN / NTN Antriebstechnik,2,Especialista,JP,6000,USD,0,"Rodamientos precisión, juntas homocinéticas",,Automotive global value chain - The rise of mega suppliers,Cotiza 6472.T,,,
iochpe-maxion,Iochpe-Maxion,1,Especialista,BR,2500,USD,0,"Chasis, bastidores, ruedas",,Outsourcing in the automotive industry; Modularización Trayectorias...,Consorcio Modular Resende. Cotiza MYPK3.SA,,,
arvinmeritor,ArvinMeritor / Rockwell,1,Especialista,US,0,USD,0,"Suspensión, ejes mecánicos, frenos",,Outsourcing in the automotive industry; Modularización Trayectorias...,Consorcio Modular Resende. Ahora Meritor (parte de Cummins 2022),,,
tamet,Tamet,1,Especialista,BR,0,USD,0,"Estampación metálica, estructuras pesadas carrocería",,Outsourcing in the automotive industry; Modularización Trayectorias...,Consorcio Modular Resende,,,
refa,Refa,2,Especialista,MX,0,USD,0,Componentes mecánicos alta precisión,,Modularización Trayectorias...,,,,
jiangsu-pacific,Jiangsu Pacific Precision Forging,2,Especialista,CN,0,USD,0,Piezas y engranajes forja precisión,,Volkswagen group supply chain analysis in Europe,,,,
mwm,MWM,1,Especialista,BR,0,USD,0,Motores diésel vehículos comerciales,,Outsourcing in the automotive industry; Modularización Trayectorias...,Consorcio Modular Resende,,,
cummins,Cummins,1,Especialista,US,34000,USD,0,"Motores diésel alta potencia, propulsión",,Outsourcing in the automotive industry; Modularización Trayectorias...,Consorcio Modular Resende. Cotiza CMI. Absorbió Meritor (2022),,,
boysen,Friedrich Boysen GmbH,2,Especialista,DE,0,EUR,0,"Sistemas escape, colectores control emisiones",,Volkswagen group supply chain analysis in Europe,,,,
kautex,Kautex,1,Especialista,DE,0,EUR,0,Depósitos y sistemas plásticos combustible,,Modularización Trayectorias...,Filial de Textron,,,
bridgestone,Bridgestone,1,Especialista,JP,28000,USD,0,Neumáticos equipo original,,Outsourcing in the automotive industry; Modularización Trayectorias...,Cotiza 5108.T,,,
remon-borlen,Remon / Borlen,1,Especialista,BR,0,USD,0,"Ensamble ruedas, llantas, neumáticos montados",,Outsourcing in the automotive industry; Modularización Trayectorias...,Consorcio Modular Resende,,,
vitro,Vitro,1,Especialista,MX,2200,USD,0,Parabrisas y cristales automotrices,,Modularización Trayectorias...,Cotiza VITROA.MX,,,
hella,Hella,1,Especialista,DE,8000,EUR,0,"Ópticas, faros, tecnología iluminación",,Modularización Trayectorias...,NOTA: Adquirida por Forvia en 2022. En fuentes históricas aparece independiente,,,
electro-optica,Electro Óptica,1,Especialista,MX,0,USD,0,"Radiadores, defensas, ópticas frontales",,Modularización Trayectorias...,,,,
autoliv,Autoliv,1,Especialista,SE,10400,USD,0,"Airbags, cinturones seguridad",,Modularización Trayectorias...,Cotiza ALV,,,
arneses-especiales,Arneses y Manufacturas Especiales,1,Especialista,MX,0,USD,0,Cableados y redes eléctricas,,Modularización Trayectorias...,,,,
harting,Harting Automobile GmbH,2,Especialista,DE,0,EUR,0,Cables y conectores alta tensión para carga eléctrica,,Volkswagen group supply chain analysis in Europe,,,,
samsung-sdi,Samsung SDI,2,Especialista,KR,15000,USD,0,Celdas y paquetes baterías ion-litio,,Relocation Standardization and Vertical Specialization; 204-article-p171,Cotiza 006400.KS,,,
panasonic-energy,Panasonic Energy,2,Especialista,JP,0,USD,0,Celdas baterías ion-litio,,Relocation Standardization and Vertical Specialization; 204-article-p171,Filial Panasonic Holdings,,,
byd,BYD,2,Especialista,CN,90000,USD,0,"Celdas baterías, vehículos eléctricos",,Relocation Standardization and Vertical Specialization; 204-article-p171,Cotiza 1211.HK. También competidor como OEM,,,
schenker,DB Schenker,1,Especialista,DE,20000,EUR,0,Logística ferroviaria componentes entre plantas,,Managing the international value chain in the automotive industry,Filial de Deutsche Bahn. 3PL,,,
rudolph,Rudolph Logistik Kft.,1,Especialista,HU,0,EUR,0,"Gestión interna almacén, suministro líneas producción",,Managing the international value chain in the automotive industry,Mantiene al fabricante libre de activos de manipulación,,,
seglo,SEGLO Logistics,1,Especialista,MX,0,USD,0,"Centros Multi JIT-JIS, subensambles externos, secuenciado",,Análisis de una cadena de suministro de autopartes,Alta dependencia VW,,,
eisenmann,Eisenmann,1,Especialista,DE,0,EUR,0,Pintura industrial carrocerías y cabinas,,Outsourcing in the automotive industry; Modularización Trayectorias...,Consorcio Modular Resende,,,
karmann,Wilhelm Karmann GmbH,1,Especialista,DE,0,EUR,0,Manufactura por contrato: modelos convertibles,,Managing the international value chain in the automotive industry,Quebró 2009. Parte adquirida por VW,,,
siem-carriers,SIEM Car Carriers AS,1,Especialista,NO,0,EUR,0,Transporte marítimo vehículos terminados,,Volkswagen group supply chain analysis in Europe,,,,
enel,Enel,1,Especialista,IT,95000,EUR,0,Infraestructura redes puntos carga rápida,,Valuación del Grupo Volkswagen,Socio estratégico. Cotiza ENEL.MI,,,
